,id,lat,long,country,geom_data
0,2022-09-04ID1,34.6754,70.7369,افغانستان,"34.6754,70.7369"
1,2022-09-04ID2,-21.2477,168.5367,Coral Sea,"-21.2477,168.5367"
2,2022-09-04ID3,32.3287,142.4125,North Pacific Ocean,"32.3287,142.4125"
3,2022-09-04ID4,32.386,142.5056,North Pacific Ocean,"32.386,142.5056"
4,2022-09-04ID5,-0.9371,-21.719,South Atlantic Ocean,"-0.9371,-21.719"
5,2022-09-04ID6,-5.0254,102.9125,Indonesia,"-5.0254,102.9125"
6,2022-09-03ID8,8.9942,-83.8343,Costa Rica,"8.9942,-83.8343"
7,2022-09-03ID9,35.0695,26.3288,Ελλάς,"35.0695,26.3288"
8,2022-09-03ID10,44.2899,148.9271,Pacific Ocean,"44.2899,148.9271"
9,2022-09-03ID11,44.1821,149.0888,Pacific Ocean,"44.1821,149.0888"
10,2022-09-02ID12,-5.6539,148.7029,Papua Niugini,"-5.6539,148.7029"
11,2022-09-02ID13,-19.7279,-176.0829,South Pacific Ocean,"-19.7279,-176.0829"
12,2022-09-02ID14,-17.6743,-176.4447,South Pacific Ocean,"-17.6743,-176.4447"
13,2022-09-01ID15,-7.2647,128.9384,Indonesia,"-7.2647,128.9384"
14,2022-09-01ID16,13.1626,57.6837,Arabian Sea,"13.1626,57.6837"
15,2022-08-31ID17,-21.5595,175.5976,South Pacific Ocean,"-21.5595,175.5976"
16,2022-08-31ID18,26.9628,126.5841,East China Sea,"26.9628,126.5841"
17,2022-08-30ID19,4.4945,62.5197,Indian Ocean,"4.4945,62.5197"
18,2022-08-30ID20,4.4044,62.572,Indian Ocean,"4.4044,62.572"
19,2022-08-30ID21,-54.4841,-136.2046,South Pacific Ocean,"-54.4841,-136.2046"
20,2022-08-30ID22,-54.6999,-136.1556,South Pacific Ocean,"-54.6999,-136.1556"
21,2022-08-29ID23,-32.7298,-179.055,South Pacific Ocean,"-32.7298,-179.055"
22,2022-08-29ID26,13.854,145.21,North Pacific Ocean,"13.854,145.21"
23,2022-08-29ID27,28.8728,130.6714,Philippine Sea,"28.8728,130.6714"
24,2022-08-29ID29,-5.7647,145.396,Papua Niugini,"-5.7647,145.396"
25,2022-08-29ID31,-1.0077,98.6416,Indonesia,"-1.0077,98.6416"
